task_name|frame_range|split
cmu_bike01_2|877-925|train
cmu_bike01_2|1000-1048|val
cmu_bike01_2|2000-2048|train
cmu_bike01_2|2451-2499|train
cmu_bike01_4|877-925|train
cmu_bike01_4|1000-1048|train
cmu_bike01_4|2000-2048|train
cmu_bike01_4|2451-2499|train
cmu_bike01_5|877-925|val
cmu_bike01_5|1000-1048|train
cmu_bike01_5|2000-2048|train
cmu_bike01_5|2451-2499|train
cmu_bike01_7|877-925|train
cmu_bike01_7|1000-1048|train
cmu_bike01_7|2000-2048|train
cmu_bike01_7|2451-2499|val
cmu_bike02_2|877-925|train
cmu_bike02_2|1000-1048|train
cmu_bike02_2|2000-2048|train
cmu_bike02_2|2451-2499|train
cmu_bike02_3|877-925|train
cmu_bike02_3|1000-1048|train
cmu_bike02_3|2000-2048|train
cmu_bike02_3|2451-2499|train
cmu_bike02_5|877-925|train
cmu_bike02_5|1000-1048|train
cmu_bike02_5|2000-2048|train
cmu_bike02_6|877-925|train
cmu_bike02_6|1000-1048|train
cmu_bike02_6|2000-2048|train
cmu_bike02_6|2451-2499|train
cmu_bike03_2|877-925|val
cmu_bike03_2|1000-1048|train
cmu_bike03_2|2000-2048|train
cmu_bike03_3|877-925|train
cmu_bike03_3|1000-1048|train
cmu_bike03_3|2000-2048|train
cmu_bike03_3|2451-2499|train
cmu_bike03_4|877-925|train
cmu_bike03_4|1000-1048|train
cmu_bike03_5|877-925|train
cmu_bike03_5|1000-1048|train
cmu_bike03_5|2000-2048|train
cmu_bike03_5|2451-2499|train
cmu_bike05_2|877-925|train
cmu_bike05_4|877-925|val
cmu_bike05_4|1000-1048|train
cmu_bike05_4|2000-2048|train
cmu_bike05_4|2451-2499|train
cmu_bike05_5|877-925|train
cmu_bike05_5|1000-1048|train
cmu_bike05_5|2000-2048|train
cmu_bike05_5|2451-2499|train
cmu_bike05_6|877-925|train
cmu_bike05_6|1000-1048|train
cmu_bike05_6|2000-2048|train
cmu_bike06_5|877-925|train
cmu_bike06_5|1000-1048|train
cmu_bike08_6|877-925|train
cmu_bike09_6|877-925|train
cmu_bike09_6|1000-1048|train
cmu_bike10_5|877-925|train
cmu_bike10_5|1000-1048|train
cmu_bike10_7|877-925|train
cmu_bike12_2|877-925|train
cmu_bike12_2|1000-1048|train
cmu_bike12_3|877-925|train
cmu_bike12_3|1000-1048|train
cmu_bike12_3|2000-2048|train
cmu_bike12_3|2451-2499|train
cmu_bike12_5|877-925|train
cmu_bike12_5|1000-1048|train
cmu_bike13_2|877-925|train
cmu_bike13_2|1000-1048|train
cmu_bike13_2|2000-2048|train
cmu_bike13_2|2451-2499|train
cmu_bike13_4|877-925|train
cmu_bike13_4|1000-1048|train
cmu_bike13_4|2000-2048|train
cmu_bike13_4|2451-2499|train
cmu_bike13_6|877-925|val
cmu_bike13_6|1000-1048|train
cmu_bike13_6|2000-2048|val
cmu_bike14_2|877-925|train
cmu_bike14_3|877-925|train
cmu_bike14_3|1000-1048|train
cmu_bike14_3|2000-2048|train
cmu_bike14_3|2451-2499|train
cmu_bike14_4|877-925|val
cmu_bike14_4|1000-1048|train
cmu_bike14_5|877-925|train
cmu_bike14_5|1000-1048|train
cmu_bike15_2|877-925|train
cmu_bike15_2|1000-1048|train
cmu_bike15_3|877-925|train
cmu_bike15_3|1000-1048|train
cmu_bike15_3|2000-2048|train
cmu_bike15_3|2451-2499|train
cmu_bike15_4|877-925|train
cmu_bike15_4|1000-1048|train
cmu_bike15_5|877-925|train
cmu_bike15_5|1000-1048|train
cmu_bike15_5|2000-2048|train
cmu_bike15_5|2451-2499|train
cmu_bike16_3|877-925|train
cmu_bike16_3|1000-1048|val
cmu_bike16_3|2000-2048|train
cmu_bike16_3|2451-2499|train
cmu_bike16_5|877-925|train
cmu_bike16_5|1000-1048|train
cmu_bike16_5|2000-2048|train
cmu_bike17_2|877-925|train
cmu_bike17_2|1000-1048|train
cmu_bike17_3|877-925|train
cmu_bike17_3|1000-1048|train
cmu_bike17_3|2000-2048|train
cmu_bike17_3|2451-2499|train
cmu_bike17_4|877-925|train
cmu_bike17_4|1000-1048|train
cmu_bike17_5|877-925|train
cmu_bike17_5|1000-1048|train
cmu_bike17_5|2000-2048|train
cmu_bike18_3|877-925|train
cmu_bike18_3|1000-1048|train
cmu_bike18_3|2000-2048|train
cmu_bike18_3|2451-2499|train
cmu_bike18_5|877-925|train
cmu_bike18_6|877-925|train
cmu_bike18_6|1000-1048|train
cmu_bike19_2|877-925|train
cmu_bike19_2|1000-1048|train
cmu_bike19_3|877-925|train
cmu_bike19_3|1000-1048|train
cmu_bike19_3|2000-2048|train
cmu_bike19_3|2451-2499|train
cmu_bike19_4|877-925|train
cmu_bike19_4|1000-1048|train
cmu_bike19_5|877-925|val
cmu_bike19_5|1000-1048|train
cmu_bike19_5|2000-2048|train
cmu_bike20_2|877-925|train
cmu_bike20_2|1000-1048|train
cmu_bike20_2|2000-2048|train
cmu_bike20_3|877-925|train
cmu_bike20_3|1000-1048|train
cmu_bike20_3|2000-2048|train
cmu_bike20_3|2451-2499|train
cmu_bike20_4|877-925|train
cmu_bike20_4|1000-1048|train
cmu_bike20_4|2000-2048|train
cmu_bike20_4|2451-2499|train
cmu_bike20_5|877-925|train
cmu_bike20_5|1000-1048|train
cmu_bike21_2|877-925|train
cmu_bike21_2|1000-1048|train
cmu_bike21_3|877-925|train
cmu_bike21_3|1000-1048|train
cmu_bike21_3|2000-2048|train
cmu_bike21_3|2451-2499|train
cmu_bike21_4|877-925|train
cmu_bike21_4|1000-1048|val
cmu_bike21_5|877-925|train
cmu_bike21_5|1000-1048|val
cmu_bike21_5|2000-2048|train
cmu_bike21_5|2451-2499|train
cmu_soccer03_1|877-925|train
cmu_soccer03_1|1000-1048|val
cmu_soccer03_1|2000-2048|train
cmu_soccer03_1|2451-2499|train
cmu_soccer03_2|877-925|train
cmu_soccer03_2|1000-1048|train
cmu_soccer03_2|2000-2048|train
cmu_soccer03_2|2451-2499|train
cmu_soccer06_4|877-925|train
cmu_soccer06_4|1000-1048|train
cmu_soccer06_4|2000-2048|train
cmu_soccer06_4|2451-2499|train
cmu_soccer06_5|877-925|train
cmu_soccer06_5|1000-1048|train
cmu_soccer06_5|2000-2048|train
cmu_soccer06_5|2451-2499|val
cmu_soccer06_6|877-925|val
cmu_soccer06_6|1000-1048|train
cmu_soccer06_6|2000-2048|train
cmu_soccer06_6|2451-2499|train
cmu_soccer07_1|877-925|train
cmu_soccer07_1|1000-1048|train
cmu_soccer07_1|2000-2048|val
cmu_soccer07_1|2451-2499|train
cmu_soccer07_2|877-925|train
cmu_soccer07_2|1000-1048|train
cmu_soccer07_2|2000-2048|val
cmu_soccer07_2|2451-2499|val
cmu_soccer07_3|877-925|train
cmu_soccer07_3|1000-1048|train
cmu_soccer07_3|2000-2048|train
cmu_soccer07_3|2451-2499|train
cmu_soccer08_1|877-925|train
cmu_soccer08_1|1000-1048|train
cmu_soccer08_1|2000-2048|train
cmu_soccer08_1|2451-2499|train
cmu_soccer08_2|877-925|train
cmu_soccer08_2|1000-1048|train
cmu_soccer08_2|2000-2048|train
cmu_soccer08_2|2451-2499|train
cmu_soccer08_3|877-925|train
cmu_soccer08_3|1000-1048|train
cmu_soccer08_3|2000-2048|val
cmu_soccer08_3|2451-2499|train
cmu_soccer09_1|877-925|train
cmu_soccer09_1|1000-1048|train
cmu_soccer09_1|2000-2048|val
cmu_soccer09_1|2451-2499|train
cmu_soccer09_2|877-925|train
cmu_soccer09_2|1000-1048|val
cmu_soccer09_2|2000-2048|train
cmu_soccer09_2|2451-2499|train
cmu_soccer11_2|877-925|train
cmu_soccer11_2|1000-1048|train
cmu_soccer11_2|2000-2048|val
cmu_soccer11_2|2451-2499|train
cmu_soccer14_4|877-925|train
cmu_soccer14_4|1000-1048|train
cmu_soccer14_4|2000-2048|val
cmu_soccer14_4|2451-2499|train
cmu_soccer14_5|877-925|train
cmu_soccer14_5|1000-1048|train
cmu_soccer14_5|2000-2048|train
cmu_soccer14_5|2451-2499|val
cmu_soccer15_2|877-925|train
cmu_soccer15_2|2451-2499|train
cmu_soccer15_3|877-925|train
cmu_soccer15_3|2451-2499|train
cmu_soccer15_5|877-925|train
cmu_soccer15_5|2451-2499|train
cmu_soccer16_4|877-925|train
cmu_soccer16_4|1000-1048|train
cmu_soccer16_4|2000-2048|train
cmu_soccer16_4|2451-2499|val
cmu_soccer16_6|877-925|train
cmu_soccer16_6|1000-1048|train
cmu_soccer16_6|2000-2048|train
cmu_soccer16_6|2451-2499|train
fair_bike_01_10|877-925|train
fair_bike_01_10|1000-1048|train
fair_bike_01_10|2000-2048|train
fair_bike_01_10|2451-2499|train
fair_bike_01_11|877-925|train
fair_bike_01_11|1000-1048|train
fair_bike_01_11|2000-2048|train
fair_bike_01_11|2451-2499|train
fair_bike_01_12|877-925|val
fair_bike_01_12|1000-1048|train
fair_bike_01_12|2000-2048|train
fair_bike_01_14|877-925|train
fair_bike_01_14|1000-1048|train
fair_bike_01_15|877-925|train
fair_bike_01_15|1000-1048|train
fair_bike_01_15|2000-2048|val
fair_bike_01_15|2451-2499|train
fair_bike_01_16|877-925|train
fair_bike_01_16|1000-1048|train
fair_bike_01_16|2000-2048|train
fair_bike_01_16|2451-2499|train
fair_bike_01_2|877-925|train
fair_bike_01_2|1000-1048|train
fair_bike_01_3|877-925|train
fair_bike_01_3|1000-1048|train
fair_bike_01_3|2000-2048|train
fair_bike_01_3|2451-2499|train
fair_bike_01_4|877-925|train
fair_bike_01_4|1000-1048|train
fair_bike_01_4|2000-2048|train
fair_bike_01_6|877-925|val
fair_bike_01_6|1000-1048|train
fair_bike_01_7|877-925|train
fair_bike_01_7|1000-1048|train
fair_bike_01_7|2000-2048|train
fair_bike_01_7|2451-2499|train
fair_bike_01_8|877-925|train
fair_bike_01_8|1000-1048|train
fair_bike_01_8|2000-2048|train
fair_bike_01_8|2451-2499|train
fair_bike_10_10|877-925|train
fair_bike_10_10|1000-1048|val
fair_bike_10_10|2000-2048|train
fair_bike_10_10|2451-2499|train
fair_bike_10_2|877-925|train
fair_bike_10_2|1000-1048|train
fair_bike_10_2|2000-2048|train
fair_bike_10_2|2451-2499|train
fair_bike_10_4|877-925|train
fair_bike_10_4|1000-1048|train
fair_bike_10_4|2000-2048|train
fair_bike_10_4|2451-2499|train
fair_bike_10_6|877-925|train
fair_bike_10_6|1000-1048|train
fair_bike_10_6|2000-2048|train
